-----------------------
Table for fillrandom
-----------------------
Threads,FusionFS,HostCache-user-level,OmniCache
fillrandom,46.0,41.9,41.0
-----------------------
Table for readrandom
-----------------------
Threads,FusionFS,HostCache-user-level,OmniCache
readrandom,273.9,292.9,307.5
